iter	MultiClass
488	0.5979087236
489	0.5977842079
490	0.597388888
491	0.597310758
492	0.5972857111
493	0.5971262105
494	0.5969621928
495	0.5967963961
496	0.5966022231
497	0.5964041529
498	0.5962365891
499	0.5961829836
500	0.5960980362
501	0.5959818861
502	0.5957432936
503	0.5955885391
504	0.5952250205
505	0.5950477347
506	0.5949410174
507	0.5948812
508	0.5948191551
509	0.5945707348
510	0.5942863726
511	0.594144674
512	0.5940753268
513	0.5937365651
514	0.5935253487
515	0.5934590978
516	0.5932733965
517	0.5928990594
518	0.5928458495
519	0.5927709244
520	0.5926031013
521	0.5923690732
522	0.5922045343
523	0.5921044467
524	0.5920277439
525	0.5919574718
526	0.5918231118
527	0.5914772722
528	0.5913101175
529	0.5909755483
530	0.5908814536
531	0.5908352987
532	0.5907758167
533	0.5906112082
534	0.5904403796
535	0.5903311719
536	0.590202002
537	0.5899939432
538	0.5899395929
539	0.5898604682
540	0.5897713458
541	0.5895290758
542	0.5893753246
543	0.5893096566
544	0.5891808692
545	0.5889938227
546	0.5886447137
547	0.5885084973
548	0.588180772
549	0.5880808326
550	0.5878257449
551	0.5877778734
552	0.5877058932
553	0.5876602483
554	0.587545722
555	0.5873331211
556	0.5872268566
557	0.586833561
558	0.5867809315
559	0.5865752282
560	0.5865174491
561	0.5863747396
562	0.5861256059
563	0.5860459305
564	0.5858625978
565	0.585561135
566	0.5855279286
567	0.5854640497
568	0.5852351567
569	0.5850393329
570	0.584832183
571	0.5847662329
572	0.584544304
573	0.5842931349
574	0.584121601
575	0.5840617971
576	0.5839203123
577	0.5836611847
578	0.5834521755
579	0.5832394668
580	0.5830661474
581	0.5830070158
582	0.5829728835
583	0.5828280796
584	0.5827259915
585	0.5826455792
586	0.5824455903
587	0.5823770507
588	0.5823352637
589	0.5821315299
590	0.5820885634
591	0.5820120864
592	0.5818010401
593	0.5816532954
594	0.5814932175
595	0.5813891311
596	0.5813619576
597	0.5812108405
598	0.5810875128
599	0.5809430312
600	0.5808094703
601	0.580666438
602	0.5805466298
603	0.5803071013
604	0.5802817135
605	0.580231217
606	0.5801568233
607	0.580025275
608	0.5799333416
609	0.5798399615
610	0.5795658332
611	0.5794161286
612	0.5793661883
613	0.5792108038
614	0.5790727327
615	0.5789315353
616	0.5788453162
617	0.5787257822
618	0.5785262912
619	0.5784646767
620	0.5783636797
621	0.5783154532
622	0.5781877398
623	0.578143432
624	0.5780290114
625	0.5779985595
626	0.5779187765
627	0.5778881951
628	0.5778301826
629	0.5776620055
630	0.5774798607
631	0.5773523812
632	0.577298335
633	0.5772549892
634	0.5772080625
635	0.577086058
636	0.5770686036
637	0.5769119724
638	0.576741052
639	0.5766889921
640	0.576651264
641	0.5765633645
642	0.5765175079
643	0.5764450405
644	0.5761562897
645	0.5760251817
646	0.5758831152
647	0.5758399729
648	0.5757410918
649	0.5755540182
650	0.5754484464
651	0.5753025618
652	0.5751436706
653	0.5750998059
654	0.5749333536
655	0.5749021201
656	0.5747799181
657	0.57462745
658	0.5744851669
659	0.5743263724
660	0.5742083072
661	0.5741166302
662	0.574074441
663	0.5740284603
664	0.5740057032
