iter	Passed	Remaining
208	1641	14068
209	1650	14067
210	1658	14057
211	1664	14041
212	1672	14031
213	1680	14023
214	1687	14010
215	1694	13997
216	1702	13985
217	1708	13966
218	1716	13959
219	1724	13950
220	1731	13934
221	1737	13918
222	1744	13901
223	1751	13887
224	1758	13870
225	1765	13856
226	1771	13837
227	1778	13819
228	1784	13799
229	1790	13781
230	1797	13766
231	1804	13750
232	1811	13735
233	1819	13728
234	1827	13722
235	1834	13708
236	1842	13703
237	1849	13692
238	1857	13689
239	1865	13677
240	1871	13659
241	1879	13650
242	1885	13633
243	1892	13618
244	1899	13607
245	1906	13593
246	1913	13582
247	1920	13565
248	1929	13565
249	1936	13554
250	1944	13546
251	1950	13528
252	1957	13519
253	1964	13502
254	1971	13488
255	1978	13479
256	1985	13467
257	1992	13456
258	1999	13441
259	2006	13430
260	2013	13416
261	2020	13404
262	2029	13401
263	2036	13393
264	2044	13382
265	2051	13374
266	2059	13368
267	2068	13370
268	2089	13443
269	2109	13513
270	2133	13608
271	2152	13673
272	2161	13676
273	2178	13724
274	2192	13752
275	2204	13770
276	2213	13767
277	2220	13757
278	2229	13753
279	2236	13741
280	2244	13733
281	2254	13732
282	2262	13724
283	2269	13711
284	2276	13699
285	2284	13693
286	2291	13674
287	2297	13658
288	2305	13647
289	2312	13633
290	2319	13624
291	2327	13613
292	2335	13604
293	2343	13596
294	2350	13584
295	2357	13572
296	2364	13555
297	2371	13543
298	2378	13530
299	2386	13524
300	2395	13522
301	2402	13510
302	2411	13508
303	2419	13496
304	2426	13487
305	2434	13478
306	2443	13475
307	2452	13475
308	2464	13487
309	2476	13498
310	2486	13506
311	2495	13503
312	2503	13493
313	2512	13490
314	2521	13488
315	2530	13485
316	2538	13476
317	2548	13482
318	2559	13487
319	2568	13483
320	2575	13472
321	2584	13469
322	2593	13466
323	2601	13457
324	2610	13452
325	2617	13442
326	2625	13433
327	2634	13431
328	2642	13422
329	2652	13421
330	2659	13410
331	2667	13399
332	2675	13392
333	2682	13381
334	2690	13374
335	2698	13364
336	2706	13354
337	2714	13349
338	2722	13341
339	2734	13349
340	2745	13359
341	2754	13355
342	2763	13350
343	2771	13343
344	2780	13337
345	2787	13327
346	2796	13319
347	2804	13313
348	2813	13308
349	2820	13298
350	2827	13284
351	2834	13270
352	2841	13257
353	2848	13246
354	2857	13239
355	2866	13235
356	2874	13228
357	2883	13223
358	2891	13215
359	2899	13208
360	2906	13195
361	2913	13181
362	2919	13167
363	2926	13155
364	2934	13145
365	2941	13132
366	2948	13120
367	2955	13108
368	2962	13094
369	2970	13084
370	2977	13073
371	2985	13064
372	2991	13050
373	2998	13037
374	3005	13021
375	3012	13010
376	3019	12998
377	3025	12983
378	3033	12973
379	3040	12962
380	3047	12950
381	3055	12939
382	3061	12926
383	3068	12914
384	3076	12907
385	3084	12895
386	3091	12885
387	3099	12875
388	3106	12866
389	3113	12852
390	3120	12842
391	3128	12831
392	3134	12816
393	3140	12801
394	3147	12788
395	3155	12779
396	3162	12769
397	3168	12754
398	3177	12751
399	3186	12747
400	3194	12739
401	3201	12727
402	3208	12714
403	3216	12704
404	3222	12692
405	3230	12681
406	3236	12668
407	3243	12656
408	3250	12643
409	3257	12631
410	3264	12622
411	3271	12609
412	3278	12599
413	3285	12588
